Customer Number,Peak,Min,MaxROC,HourBeforeMaxROC,Avg,Variance,TotalEnergy,LoadFactor,Class
181,258,-218,266,12,120.33,8033.3,2735,0.4417,2
182,160,-458,-276,12,-4.0833,43295,-249,-0.064844,1
183,154,-512,226,14,-66.75,59434,-1756,-0.47511,1
184,152,-508,282,17,-72.333,69383,-1884,-0.51645,1
185,160,-484,194,18,-78.333,67339,-2028,-0.52812,1
186,224,-368,294,15,62.583,32599,1351,0.2513,1
187,180,-360,214,14,18.417,28766,283,0.065509,1
188,214,-362,320,12,38.167,35030,754,0.14681,1
189,174,-420,-416,15,7.9167,40254,34,0.0081418,1
190,152,-466,172,14,-16.333,43832,-539,-0.14775,1
191,150,-362,430,17,14.5,25707,206,0.057222,1
192,244,-294,208,16,70.75,24443,1548,0.26434,1
193,184,-388,348,15,36.417,37290,715,0.16191,1
194,220,-432,366,17,-10.667,55663,-412,-0.07803,1
195,224,-406,466,14,53.667,33490,1134,0.21094,1
196,176,-434,184,18,-40.5,54380,-1120,-0.26515,1
197,150,-444,-416,13,14.917,41871,215,0.059722,1
198,154,-512,184,20,-89.917,70258,-2306,-0.62392,1
199,188,-388,178,19,-21.417,49017,-666,-0.14761,1
200,286,-370,400,16,42.667,45175,869,0.1266,1
201,184,-334,-208,14,6.75,34079,8,0.0018116,1
202,180,-402,516,15,6.4167,38346,3,0.00069444,1
203,186,-440,200,14,-14,41913,-489,-0.10954,1
204,158,-510,180,18,-77.333,70679,-2007,-0.52927,1
205,160,-512,222,19,-82.5,71248,-2130,-0.55469,1
206,180,-374,320,14,6.5,37255,-3,-0.00069444,1
207,202,-326,244,18,56.417,23112,1201,0.24773,1
208,214,-352,276,15,32.333,34626,622,0.12111,1
209,174,-426,508,15,-0.16667,45827,-153,-0.036638,1
210,178,-422,188,17,-27.583,50651,-814,-0.19054,1
211,160,-522,-178,9,-84.917,72142,-2186,-0.56927,1
212,160,-508,304,18,-72.083,71800,-1877,-0.4888,1
213,180,-256,-144,9,68.083,15835,1478,0.34213,2
214,172,-304,450,13,70.917,19799,1547,0.37476,1
215,226,-398,314,17,15.75,45743,227,0.041851,1
216,172,-388,482,13,60,26359,1288,0.31202,1
217,176,-432,242,16,-29,52301,-849,-0.20099,1
218,154,-540,-182,9,-65.083,67477,-1706,-0.46158,1
219,158,-532,-174,9,-76.5,69745,-1981,-0.52242,1
220,180,-466,-152,9,-48.667,57426,-1309,-0.30301,1
221,188,-432,310,16,-9.5,48940,-379,-0.083998,1
222,194,-442,-304,10,11.167,47345,116,0.024914,4
223,184,-386,214,15,3,41056,-77,-0.017437,1
224,176,-426,-152,9,-34.583,52883,-977,-0.2313,1
225,156,-520,-186,9,-80.583,72746,-2081,-0.55582,1
226,156,-350,202,16,12.917,30820,161,0.043002,1
227,196,-420,242,14,5.6667,42802,-9,-0.0019133,1
228,178,-396,420,14,35.833,33753,705,0.16503,1
229,184,-420,176,18,-17.333,45597,-569,-0.12885,1
230,178,-426,256,16,-1.3333,47249,-184,-0.043071,1
231,216,-120,152,18,96.5,9494.3,2164,0.41744,2
232,154,-518,-208,9,-74.75,74271,-1946,-0.52652,1
233,156,-466,250,14,9.25,38011,70,0.018697,1
234,196,-322,274,18,22.25,31381,378,0.080357,1
235,182,-414,192,16,1,43445,-133,-0.030449,1
236,190,-406,220,16,24.25,36991,435,0.095395,1
237,190,-386,328,16,30.917,41584,585,0.12829,1
238,198,-352,408,15,45.417,36078,936,0.19697,1
239,156,-478,390,16,-15.75,54756,-524,-0.13996,1
240,158,-502,-254,8,-16.167,56419,-541,-0.14267,1
241,176,-352,-394,13,43.167,23589,881,0.20857,1
242,188,-396,280,13,28.417,30836,529,0.11724,1
243,180,-420,268,15,20.833,43211,351,0.08125,1
244,174,-420,208,16,32.833,35603,632,0.15134,1
245,170,-404,362,16,19,40999,304,0.07451,1
246,146,-576,224,16,-78.833,79811,-2031,-0.57962,1
247,158,-556,-206,8,-84.667,80312,-2182,-0.57542,1
248,164,-498,-192,8,-37.75,55073,-1056,-0.26829,1
249,192,-50,108,14,132.92,4319.3,3040,0.65972,2
250,252,140,-56,13,179.08,962.43,4153,0.68667,2
251,188,-426,294,17,-1.4167,51421,-182,-0.040337,1
252,182,-444,-180,9,-25.25,53141,-750,-0.1717,1
253,152,-512,-188,9,-66.667,68394,-1745,-0.47834,1
254,146,-508,-192,9,-56.583,65270,-1504,-0.42922,1
255,202,-426,-298,11,36.25,32735,723,0.14913,4
256,194,-280,304,17,62.583,22063,1357,0.29145,2
257,232,96,-78,15,158.08,943.12,3650,0.65553,2
258,190,-172,184,18,85.083,12619,1902,0.41711,2
259,180,-456,342,14,2.5833,42760,-75,-0.017361,1
260,148,-344,286,14,27,27336,507,0.14274,1
261,152,-520,286,18,-60.833,68327,-1605,-0.43997,1
262,192,-394,310,17,0.66667,43651,-128,-0.027778,1
